file	sha256	relocation_section	relocation_index	target_section	offset	elf_address	file_offset	type	symbol	symbol_index	symbol_undefined	symbol_type	symbol_section	symbol_value	addend	resolved_target_functions	resolved_target_address	owners	owner_start	owner_offset	owner_extent	owner_end	owner_fde	evidence	instruction_word	string_value
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.rela.data	579	.data	0x1270	0x1270	0x5c91f0	R_AARCH64_ABS64		6	0	STT_SECTION	.rodata.str1.8	0x0	0xfd20		0xfd20							data_reference		npu_noba
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.rela.data	581	.data	0x1280	0x1280	0x5c9200	R_AARCH64_ABS64		6	0	STT_SECTION	.rodata.str1.8	0x0	0xfd30		0xfd30							data_reference		force2cpu
